Text,Ideation
I want to sleep and never wake up again,1
want to: fall asleep and never wake up again,1
I just wanna sleep and never wake up,1
can i sleep forever and never wake up?,1
wanna just sleep the whole weekend away and never wake up (it’s only Wednesday),0
let's hope we never wake up in an au where bugs are human-sized and humans are bug-sized,0
I may never wake up again …,1
can never wake up in a good mood,0
I hope I will never wake up again after sleeping,1
Take your meds..go to bed...hoping you never wake up...,0
I'm watching a dream that I will never wake up from,0
I just wanna sleep and never wake up again,1
Just did 9 pages of notes and to think I have two more lectures for the week is making me want to sleep and never wake up lol,0
I'm felling so bad right now. I just wanna go to sleep and never wake up again,1
I feel like I want to collapse and never wake up,1
"I must not go to sleep cause if I do, I will never wake up !",0
Yes. Some people will never wake up .,0
im going to go to sleep and never wake up again.,1
"98% of the time my dreams are, at best, entirely mundane, or at worst, emotionally traumatizing, and either way I never wake up feeling well-rested.",0
Pray and leave my burdens at night. Never wake up with the same thing on my mind,0
"No matter how throwed I be off the tequila, I never wake up with a hangover",0
waking up after oversharing all night on zoom makes me just wanna never wake up,0
"so turns out i like walking the dog at 5 AM, but i will NEVER wake up that early, so I have decided that i’m not ever sleeping again",0
Wish I could sleep forever and never wake up because this life is not worth,1
Time to sleep and never wake up again,1
i just want to sleep and never wake up god,1
"i want more and more of those sweet words, to the point that I will never wake up",0
"I wish I could sleep and never wake up again, that’s all I truly want",1
i want to never wake up bruh too much shit to handle,1
I feel like I’m in a bad dream that I will never wake up from.,0
"woke up in 3am just to realize i hate people. I just really do hate people.

time to go back to sleep and hopefully never wake up",1
the fact i can never wake up from a nap is sad,0
I just wanna sleep forever and never wake up.,1
Life is a dream you never wake up from,0
I could sleep forever when my AC on..,0
Sometimes I just want to sleep forever so I don’t have to return to this nightmare called life.,1
"When the poor will wake up, you will not sleep forever.",0
I’m so glad that my suicide plan didn’t work.,0
forgot my headphones. This is my suicide note.,0
Jury duty without coffee.  This is my suicide note.,0
I just accidentally drank water from a coworkers water bottle. This is my suicide note.,0
"I had a suicide plan to be enacted this week 15 years ago. this week I began seeing love in a unique way, I started to love myself.",0
"Two years ago, I put together the best suicide plan. I didn't attempt it, but it's perfect.",0
Katy made a workout plan. i made a suicide plan.,1
Woke up with morning skinny. Suicide plan postponed,1
I have a very sound suicide plan where I won’t be irresponsible for not being present because I can give all my bread to my kid so he’ll have money coming up to suit his needs if saved well by the time he 18.,1
stop wishing me dead. let's hope my suicide plan will be successful.,2
"I feel so deeply sad right now for some reason. When all of this is over, if I don't die of the pandemic, I will go on with my suicide plan. I will text everyone that played a significant part in my life right before it happens.",2
I just wanna sleep forever and never wake up again,1
Can I just sleep forever & never wake up? That seems nice right about now..,1
"i'm so tired everyday, can i just sleep forever & never wake up",1
Goal in life: Sleep forever & never wake up Sleep forever & never wake up Sleep forever & never wake up Sleep forever & never wake up,1
I could sleep forever & never wake up and be completely okay with that,1
i would like to sleep forever & never wake up :-),1
i just want to sleep forever. never wake up. full black out.,1
I want to sleep forever never wake up,1
wish I could sleep forever & never wake up like sleeping beauty,1
Want to sleep forever & never wake up,1
Can I just sleep forever & never wake up,1
"I would like to sleep forever, never wake up..",1
Can I jut sleep forever?? Never wake up? Never have to deal with society,1
I wish I could sleep forever never wake up and live in a dream.,1
If I could sleep forever & never wake up believe me I would.,1
wanna sleep forever & never wake up. just need my hair played with,0
"So tired, not just lack of sleep, I mean life is exhausting me. I want to sleep forever, never wake up.",1
I just want to get into bed + sleep forever + never wake up #DepressingTweet,1
"Sometimes when my dreams are better than reality, I just want to sleep forever & never wake up ?",0
Mentally & emotionally drained. I wish I can just sleep forever & never wake up. ,1
I wanna go home. I need to sleep forever. Never wake up. It wouldn't make a difference.,1
I wish I could just sleep..forever..never wake up..never have to face problems or anything...just sleep...,1
"grrrrr, i just wanna sleep forever & never wake up. that's how i'm feeling right now ",1
Really Don't Wanna Go to School Tomorrow Just Wanna Go Sleep Forever & Never Wake Up! ,0
I wanna sleep forever.. never wake up.. then I will know I will be at piece.. my mind at ease,1
"I wish I could go to sleep forever...never wake up, I hate my reality :(",1
"I want to sleep forever, never wake up ever again.. It hurts too much knowing. :'(",1
"but why do I still love him? i feel like I'm going to sleep forever, never wake up in my utopia-land. why never? :(",1
My eyes hurt. I just wanna close them and sleep forever never wake up again.,0
Today is one of those days that I just want to roll up in a ball and sleep forever.. Never wake up,1
"Super no mood for anything right now. Just wanna sleep. Sleep forever, never wake up...",1
"I'm going to sleep.maybe I could sleep forever, never wake up... This life is confusing and hurts, I'm tired of it. ",1
"I just wanna sleep forever. Never wake up, and have no worries. School in the AM, then work with my mom, who i havent seen in ages.",1
I’m seriously want to die. sleep forever. never wake up. Fuck my life.,2
i hate it how i do hate you. -making mistakes that i dont even know the reasons for. I just want to sleep forever & never wake up,1
I just wanna cry..=( today I'm feel very sad.. the worst day of my life..:( I just wanna sleep forever..:( never wake up...,1
i want to sleep forever. never wake up. dreams are so much better than exams...,0
Literally me. I wish I could sleep forever but no... I have some motherfuckers to prove wrong ,0
getting out of bed sucks. i just wanna sleep forever,0
i just wanna sleep forever honestly fuck this,1
How do I say I wanna sleep forever without making it sound worrisome I’m tired as fuck,0
"Suddenly nothing even mattered anymore, all i want to do is sleep forever",1
Wishing to sleep forever. Can't endure the pain.,1
Just finished my junior year of high school. I crammed a month and half’s work of online school in the last five days and now I want to sleep forever.,0
"A motivational speaker once said ""Sleep no more, for you have the grave to sleep forever' lol",0
i really could just sleep forever ,0
Sometimes I just want to sleep forever so I don’t have to return to this nightmare called life.,1
Don't even have the energy to hurt myself today. Just wanna sleep forever.,1
Maybe I don’t want to heal maybe I just want to sleep forever,1
so sleepy i wish i could sleep forever n never wake up,0
"hear me out, when you sleep your problems go away temporarily, but if i sleep forever, I will never have problems",1
sleep with broken heart isn’t good. Better sleep forever,1
"i wanna sleep forever, sort of like dying but i also don’t wanna die",0
Have you ever felt so sad and lonely that you want to sleep forever and never wake up ? ..,1
for my next trick i will cry and sleep forever,1
"We'll sleep together, sleep together, sleep forever, we'll sleep together, sleep forever minus one",1
going to sleep forever,1
"Doctor said, stay away from your laptop, he recommended some powerful drugs for longtime sleep.......... God please I don't want to sleep forever, yes I promise to take enough rest.",0
man i could sleep forever in a casket in the fucking ground,0
mentally and physically drained. just want to crawl into my bed and sleep forever lol,1
"After COVID, if we as Africans don’t wake up from slumber; then we’d sleep forever till this curse is uplifted.",0
kinda wanna be in a deep sleep forever ,1
You're apart of that retarded 5% that will never wake up,0
It feel like a dream that we can never wake up from,0
Just lying on bed and hopefully never wake up.,1
"I met you in a dream, and I wished i would never wake up from it.",0
can i just go to sleep and never wake up?,1
Been feeling like I’m in a dream this week. I hope I never wake up.. ,0
I just want to go to sleeP and never wake up but I can’t even fucking sleep because I am SCARED AND WANT TO CRY,1
It's like you talking to me. Everything is a mess right now. I feel like sleeping and never wake up. I am not sure how things are going to be better,0
I just want to sleep forever and never wake up. Everything that’s going on in this world is just so scary.,0
Lately I just wanna cry myself to sleep but there are no tears. Lately I just wanna scream out all my anger but there is no voice. Lately I just wanna show all my feelings but there are none. Lately I just wanna fall asleep and never wake up again.,1
"thank you everyone for always listen to my complain and shit. if the next day i never wake up, at least you all had convo with me for the last time.",1
I just want to sleep all day and never wake up.,0
I’m just better off dead when will I finally get the strength to end it all,1
maybe I’m better off dead. would it finally be enough to shut out all these voices in my head?,1
I’m better off dead somebody fill my head up with lead,0
He’s better off dead that’s his only way out of bearing the consequences,0
I’m almost 18 and the president has said I’m better off dead because of my political views and I’m kinda proud,0
Cant stop these thoughts that id be better off dead,1
better off dead than without you.,0
"Living is not fixing shit, so I’m better off dead",1
calls someone an asshole and then has the audacity to imply they’d be better off dead,0
"Honestly if your whole life is based around fapping, maybe you're better off dead. To live such an empty life, that's practically hell.",0
damn i might be better off dead,1
"Life’s for the living, so live it. Or you’re better off dead",0
I'm better off dead,1
Maybe I’m better off dead,1
you think you’re better off dead,0
"I won't k!ll myself, but i'm better off dead :(",1
If i only got me then id be better off dead because this world is many and i wont stand a chance,1
Fuck everyone who thinks disabled people are better off dead.,0
"I have had enough. There's a voice in my head says I'm better off dead. But if I sing along A little fucking louder to a happy song, I will be alright",1
Some friendships are better off dead and you should just love from afar,0
This picture was taken the day before I tried to kill myself last year. The day before I really thought I was better off dead.,0
I wanna die. Im tired of living this life. I wish I hadd never been born at all.,2
no suicidal shit but I’m kinda tired of living..,0
tired of living this boring and sad life,1
every day is literally the same bro I’m tired of living,1
just because you got dumped by that one boy doesn’t mean you have the right to blame and hate on the whole race. it’s 2020 and you are still not aware of racism? all those expensive bags won’t cover your stupidity sis. im so tired of living with people like you,0
I'm tired of living during a major historical event,0
Police put a gun to my head at 12. Tired of reading about racism? I'm tired of living it,0
I’m so tired of living in a world like this,0
i’m so tired of living the life i live.,1
I hope you never get tired of living,0
Kinda tired of living through historical events that's are going to get washed out by textbook publications,0
I’m tired of living in a world where everyone thinks they can help you through what you’re going through & just snap you out of it.,1
"Not on any suicidal shit, but this year got me tired of living",0
I'm tired of living in this fucking country,0
"honestly i’m tired of living inauthentically, i love myself enough to not put myself in situations again where i don’t feel like i’m being true to myself",0
tired of living and scared of dying!!!,1
"And you will die alone, and unloved. And no one will remember your name.",0
At least when I die alone I will be happy to have been right.,0
We live alone. We die alone. Everything else is just an illusion.,0
"im never gonna find love again, and I will eventually die alone",0
i have decided i want to die alone,1
I guess ultimately nothing really matters cause we all die alone anyway,0
This what people want when they say they don't wanna die alone,0
To live in this country is like being legally pressed into a suicide pact against your will.,0
Suicide pact with myself because everyone else canceled,2
Gonna join a cult that ends in a mass suicide pact.,1
feel like shit. just wanna make a suicide pact with someone,1
suicide pact but instead of killing ourselves we kiss each other,0
"since i cant kill myself, can someone please kill me",1
"Her name is TINA EZEKWE, and she was murdered by a drunk police officer! Witnesses say he said, “I will kill you and I will kill myself”.",0
I can't come and kill myself,0
got told to “kill myself” over a tweet lol,0
"Honestly, I don't wanna die or kill myself. I just want to disappear until I feel okay again.",0
"In all honesty, I want to kill myself.",2
god I’m gonna fucking kill myself,2
Three things I cannot do in this life: 1. I can’t kill myself 2. I can’t come and kill myself 3. I can’t come and go and kill myself,0
If everyone starts calling me Yang Yang I will kill everyone then kill myself,0
woman think getting pregnant gonna trap us.. bitch i will kill myself,0
I’m about to kill myself ,1
kinda want to kill myself just to see who would actually care,1
sometimes twitter makes me wanna fucking kill myself,1
"I’m gonna fucking kill myself, I hate it here",2
ima kill myself like deadass,2
anyone got some tips for me to kill myself fast and painlessly?,1
imagine being a cop id kill myself,0
"Because i don't even trust myself Last week, i tried too kill myself",1
If you don’t respond in 4 minutes I will kill myself,0
im seriously ready to kill myself.,2
"off to kill myself, good night",2
maybe I want to die for him and then kill myself,1
"I could also just kill myself, it wouldn't matter if I was gone",1
I can't come and kill myself,0
Gonna kill myself tonight,2
Every time I spend more than 20 dollars I want to kill myself,0
I should just kill myself like i should just do it,2
felt cute might kill myself later,1
Well i have two options: -fail tomorrow's exam -kill myself Guess which one im choosing,0
can i just die. how i wish i could end my life. i want to kill myself,2
Uh what the fuck I just found out one of my assignments in week 5 didnt submit correctly and thus i only got 3 marks out of the possible 16. Hahahahaha im going to end my life one day,0
Do you even know how bad I wanna end my life,1
I will never end my life in police custody.,0
suicide is the only answer.,2
Just let me die. It’s too pain to live.,2
"Hey guys, I'm going to just end my life. Bye",2
Suicide is only thing left for me.,2
suicide is only thing on my mind.,2
Sometimes suicide is the only solution.,1
Suicide is the only thing life hasn't ruined for me.,1
Suicide is the only way to escape this world.,2
suicide is the only choice I have left.,2
Is Suicide the only option to real freedom?,1
Committing suicide is the only right solution,2
I hope we never get to that state where we think suicide is the only option,0
Suicide is the only option,2
"Suicide is stupid? You wanna know what is stupid? Hurting someone so much emotionally, that they think suicide is the only answer",0
suicide is the only thing i can think of,2
It’s heartbreaking that anyone feels there is so little hope left in their life  that suicide is the only option. The mind can truly be a horrifying place. Let’s be kinder to each other.,0
"suicide is the only choice, everything that is important to me is not important anymore",2
What if SUICIDE is the only way?,1
nobody ever deserves to feel like suicide is the only option.,0
Sometimes I start to think that suicide is the only way out to find the Solution,1
What made you so hopeless so you think suicide is the only option,0
Sometimes it feels like suicide is the only way to make the pain go away,1
What if suicide is the only answer to your problem？,0
Suicide is the only way people know you were really depressed,1
What if suicide is the only answer to my problem？,1
suicide is the only answer to my problem,2
If you are ever going through something and you feel like suicide is the only way to deal with it you can always contact me no matter who you are.,0
"I don’t care who you are, what you did, what you need. If you are thinking suicide is the only answer, reach out. If you see someone struggling, reach out. This world is already hard to get through, it’s harder alone.",0
no one deserves to feel like suicide is the only answer if you are feeling suicidal please know that you can get past this there is help out there and you deserve nothing but the best,0
Pray for those who are depressed & think that suicide is the only way out. Jesus loves you! Know this & live!,0
"I have lost too many friends, if you ever feel that suicide is the only option please talk to someone. You matter.",0
It's so unfair that the human mind can feel so unloved and alone that suicide is the only option. It just shouldn't be a thing. RIP Chester.,0
"""Suicide is the only option."" Suicide is a PERMANENT DECISION. You don't have to die. You can live and let it get better.",0
"Suicide isn't selfish, you know what's selfish. Treating somebody so bad that they think that suicide is the only answer.",0
"i hope none of you ever hurt so bad that you feel suicide is the only way out. if you ever need someone to talk to, me and my memes are always here",0
to think that someone can be going through so much pain that they feel like suicide is the only answer absolutely breaks my heart,0
"Nobody deserves to feel suicide is the only option, especially at such a young age #SuicidePrevention",0
it is really crazy how someone can be gone in a day. my heart hurts for anyone who feels like suicide is the only answer.,0
What's funny about someone feeling like suicide is the only way out ? Nothing's funny. ,0
could you imagine someone being so emotionally hurt that you think suicide is the only answer?,0
It's heartbreaking that someone feels depressed to the point where suicide is the only answer. R.I.P.,0
There is always another way. I hope no one ever feels like suicide is the only option. All of my support to the Norton family.,0
please don't ever think suicide is the only way. Your life means more than you will ever know & your hands will touch the lives of millions,0
"Suicide is stupid? You wanna know what is stupid? Hurting someone so much emotionally, that they think suicide is the only answer",0
No one should ever feel like suicide is the only answer,0
for someone to feel like suicide is the only answer really makes my heart hurt. show love to everyone.,0
"Suicide is stupid? You wanna know what is stupid? Hurting someone so much emotionally, that they think suicide is the only answer",0
Game is over. Suicide is the only way I left.,2
i really feel for kids who have depression & think about suicide. can you imagine being so fed up that you think suicide is the only answer...,0
Everything is put into perspective when a 13 year old girl is so distraught that she thinks suicide is the only way out,0
it's so sad when people don't think they can talk to anyone and think suicide is the only option.,0
"Suicide isn't selfish, what's selfish is pushing someone so far that they feel like suicide is the only option",0
"People say suicide is selfish, but what's even more selfish is destroying someone so bad mentally that they think suicide is the only option",0
It's terrible to think that we live in a society where people think suicide is the only way out,0
"I'm in the middle of a really messy divorce, & it's let me think that suicide is the only option. I just need to talk her into it now.",1
suicide is the only option left,2
"I hate how those kids feel like suicide is the only answer, bullying someone to make them think that is not okay",0
Suicide is the only option i have left.,2
I want chipotle. I won't get it. suicide is the only alternative,0
"I hope if anyone I know feels like suicide is the only way out, they at least come to me to talk about it. I'm all ears. Real talk.",0
"Suicide is the only thing you can control in your life, that's why it's considered a sin, because you're beating God at his own game.",0
"I think it's disgusting that kids get bullied so bad, they think suicide is the only way out and they take it",0
Pray for those who are depressed & think that suicide is the only way out. Jesus loves you! Know this & live!,0
Suicide is the only way out of this,2
Suicide is the only way out.,2
If you push someone enough for them to think suicide is the only scape you're an asshole and you deserve to die .,0
I think suicide is the only option left for me,2
Sometimes suicide is the only way to exit.,1
"Suicide is the only way to run away from the problems, permanently.",2
Suicide is the only answer. Game over. I lose.,2
No one deserves to feel so low that suicide is the only option,0
It's sick that people are still being bullied to the point where they feel suicide is the only option.,0
suicide is the only mistake you won't live to regret,0
No one deserves to be bullied and no one should feel like suicide is the only solution to their problems.,0
So sad when people think suicide is the only way out. So many people are effected by it. Someone always will care about you.,0
"I have a suicide plan, and I will make it real very soon.",2
I have a suicide plan. Going to enjoy my last little moments while they last,2
It's pretty sad when it's got to the point where I have a suicide plan,1
Its actually sad to say that I have a suicide plan in case I need it,1
I Have A Suicide Plan... Who is Gonna Stop Me? No One...,2
"Told my therapist I have a suicide plan, I'm self harming worse then ever. I want to quit treatment.",1
I left my phone charger at home. this is my suicide note,0
My coffee maker has died. this is my suicide note,0
my suicide note: i'm fat and i can't do math homework,0
I have a suicide plan but it's long-term.,1
My mental health is literally going down the toilet. I wish I was never born,1
i wish i was never born,1
i wish i was never born im tired of feeling pain i think its the only thing i felt all my life,1
Shit like this makes me wish I was never born in this stupid fucking country,0
wish i was never born when my mom treats me like trash lol,1
"I just want to die, I wish I was never born",2
"Sometimes, I wish I was never born",1
Wish I was never born. I’m ashamed of humanity,0
"Wish I was never born,  can’t fuck up everything if I never was here.",1
I hate this world with a different type of passion I wish I was never born,1
I feel so sorry to live in a place so called “City of lights” . I wish i was never born in Pakistan,0
I just wish I was never born so I would never have to feel anything,1
"i don't really wanna die, i just wish i was never born",0
wish i was never born at all. i do not have to choose between living or dying,1
People treat me like a stray dog or criminal. I wish I was never born.,1
"i don’t want to die. however, i do wish i was never born. there is a difference.",0
i don’t hate too many things in this world but a thief is one of them  it’s a blessing i never caught someone stealing my shit because i’m running down on you no questions,0
i wanna die.  i wanna cut myself more.  i hate this world and everything in it,2
does it happen to everyone? feeling like you are worthless to live and finding yourself in the prison of your thoughts? i can not remember those days of my life that i did not think too much when i do not think at all i feel like i do not feel anything,1
 i am too worthless to live,1
“the only thing that isn’t worthless: to live this life out truthfully and rightly  and be patient with those who don’t ” -marcus aurelius,0
i'm ending my life.  people hate me and nobody cares about me.  i'm too worthless to live anymore.  sick and tired of toxic people,1
"what do you do if the whole world officially made you feel useless,  made you feel that you always made mistakes that it’s always your fault.    it simply made you feel worthless to live.  how can you adjust with all of this?",0
sometimes i even wonder if i’m just too worthless to live on planet earth,1
take all pigs from india we don’t need them     they are worthless to live in india and most of the time they love pakistan,0
if i do not see an aurora before i die i will kill myself,0
were out of saltines and i have a bowl of chili in the microwave might as well just kill myself to be honest,0
y’all are always like “listen to that voice in your head”   bro that motherfucker wants me to kill myself,1
"obviously, you all really want me to kill myself and i will do it. i'm not one of you other bitches. i will kill myself",1
my bangs are so ugly. i’m going to fucking kill myself,0
if i get kidnapped right now. i’m gonna kill myself,0
maybe I will just kill myself.  my mom goes off about how no minorities should be allowed to reclaim terms that were used to be offensive  and when i called her out on it.  suddenly i'm the bad guy?,0
why would you tell me to jump off if you didn’t want me to kill myself? why would you backpedal when i keep asking over and over if you didn’t want me to kill myself?,0
i have a nutritionist guys calm down she made me a plan so that i don’t kill myself for science,0
"self care is when my dad says something unnecessarily rude to me i look him right in the eyes and ask ""why would you say that to me? that comment made me want to kill myself "" to make him confront his actions and see how his words affect others",0
sleeping in my birthday clothes  i can’t come and kill myself,0
should i kill myself or should i kill myself,1
i think i want to kill myself,2
I will kill myself,2
"if it wasn't illegal to kill myself, I would do it",0
i should just kill myself,2
"if i don’t come out of quarantine 15 pounds lighter, i’m gonna kill myself.",0
i do not like that shaved strawberry picture. every time i see it i wanna stab myself in the eyes,0
i’m ready to stab myself. i can not learn with online classes.,0
"i was just about to stab myself, but i decided to sleep instead",0
sometimes i feel stupid for having trauma. feels like they are not valid at times or i get in this head space of “well other people have it way worse yours isn’t important” i know i hurt myself thinking that way and its not healthy,0
i’m trying to get shit done.  my dad starts pestering me to run an errand.  i agree and make the drive.  the place is closed.  i wasn’t told.  i get home and he’s mad at me for the errand and for not finishing what i was doing before.  i wasted a fucking hour and i want to hurt myself,0
trust me baby in the end my life will remain great with or without you in it,0
i think I will go end my life from loosing everything,2
finally reaching my very deepest bottom today. i want rest. i do not want to feel this anymore please i want to end myself in here instead,2
there’s two things i either end my life or i will end my sister life.  staying in quarantine little bit longer will decide who is gonna die,0
at this point i just wanna die.,2
i just wanna die today,2
I just wanna die I just wanna die I just wanna die I'm broken,2
I don't wanna be alive. I just wanna die,2
I just wanna die in peace tonight.,2
feel like I'm out of my mind. It feels like my life is not mine. I don't wanna be alive,1
I don’t even know what to do. I just wanna die,2
I just wanna die peacefully. Just promise me you’ll do that for me.,1
man i just wanna die,2
I just wanna die today. I just wanna die,2
wanna fucking die rn. i just wanna die,2
It feels like my life is not mine. i don't wanna be alive. i just wanna die today. i just wanna die.,2
i’m so unwanted and unloveable. i just wanna die,2
Sometimes I just wanna die,1
"I tried to be Happy. But idk, I just wanna die",1
I just wanna die of old age.. That is the biggest blessing,0
I JUST WANNA DIE IN PEACE TONIGHT,2
i just wanna die by my mama side,0
"Can someone please come take care of me. I’m so sick and sad, and I just wanna die",1
my life is a mess. i just wanna die now,2
I don't wanna be alive. I just wanna die today. I just wanna die.,2
"Damn, I’m such a failure. I just wanna die",2
Life is so hard I just wanna die,2
I just wanna die anywhere else.. Anywhere.. Just not here..,0
You can feel the fire. Burning in my eyes and I just wanna die but I don’t wanna cry I wanna say goodbye and let me touch the sky and I can not deny. I never loved myself and I just need some help.,1
My fucking head hurts. I just wanna die,0
"I love you, in case I die tonight.",0
i hate myself so much. i just want to die,2
I'm feeling so worthless. I just want to die.,2
"i think that I'm useless, i just want to die right now",2
"I hate myself so much. I'm so ugly, stupid, selfish, toxic, boring, depressing, fearful, tired, and I just want to die rn.",2
"My mother has died this morning, and I just want to die too.",2
"Fuck tomorrow, I wanna die tonight",1
I kinda wanna die tonight,1
i hate my life so much. i just want to die,2
"I just want to die, quick and abruptly. Right now would be great. Thanks",2
"It’s not that I want to kill myself, I just want to die it’s very different",1
"I am done with this life, now i just want to die",2
"sometimes i just want to die with no explanation, i just want to die",1
Life is too hard. I just want to die.,2
You are the reason i just want to die.,1
I am so horny at work right now and I just want to die,0
"idk what to do and idk what to say, i just want to die",2
what if i don’t want to have a future what if i just want to die ???,1
I just want to die. Seriously can it just happen already.,2
"Sometimes I just want to die, and sometimes I don't. This things killing me slowly",1
I keep getting shitted on. I just want to die please. I’m begging please,2
Just let me die already. i’m done suffering,2
"When I die, don't go throwing big parties and spending money for me. That's vain. I already must have had a vain life. Let my death be solemn and peaceful.",0
Please let me die already,2
Gosh!!!!!! Please just fucking kill me already I’m begging you!!!! Let me die in my sleep tonight!!!,2
I mean let me die already. i’m ready,2
i haven’t been able to fall asleep for the past 3 days. god is testing me but little does he know. i WILL kill myself if i have to,1
if i kill myself technically the problem will be gone,1
"If I walk outside and see my car has hail damage, I will kill myself",0
"After this lockdown, I will take 2 weeks to rest at home from the stress of staying at home.
I cant come and go and kill myself. ",0
"what if we have to share a room again, i WILL kill myself 😌",0
"Stress will kill you, I remind myself of this often.",0
"do not show me old pictures of me, i will literally kill myself",0
"Someday, i will kill myself",1
i swear to god if i look like trash as a skinny person im gonna kill myself...,0
"Let it be known that I will NEVER kill myself, or disappear on my own accord.",0
"If someone do this to my sister, i will kill myself too for not being there when it happened. May her soul rest in peace, is Nigeria now unsafe for our ladies?",0
i will fucking kill myself ,2
"thanks for yelling at me as soon as you woke up, now i will proceed to kill myself because i'm dysfunctional",1
"@dfhappy I’m sorry that’s happening to you. I truly am. I do know just a little of what it’s like, having been told to kill myself because I was a dispatcher for a police departmen; answered the phone. I don’t know if anything will be better ever again, but my thoughts are with you.",0
"If I catch one more fucking sea bass, I will kill myself.",0
Finally an account I can tweet about how high I am and how much I wanna kill myself and no one will have to read it !!!!!!!!,1
I will kill myself soon,2
"I will probably kill myself before this is all over. I really don’t give a fuck. Maybe the book, if published, will change things. If I have to live the rest of my life not being able to call people out, it’s not worth it...most people need to realize they aren’t helping...",1
"Overthinking will come and kill me but if I don’t overthink I might just make the wrong decision and come and kill myself, you see the issue?",1
YALL REALLY WANT ME TO KILL MYSELF AND I WILL DO IT,1
i want to kill myself so bad,1
I do not fucking concern to a mandatory vaccine. I will kill myself first!,0
"I should push everyone away, let them forget me, and then kill myself.",1
"why is it that when i wake up with a good mood aside from wanting to kill myself last night, my parents had to fucking ruin my day? why?",1
"Y’all are so fucking loud, just let me kill myself in peace please.",2
Let me kill myself in peace.,2
I told myself it wouldn’t hurt if you left because I never really let you in. I didn’t realize it would kill me once you were gone because you were my heart all along,0
just let me kill myself.,2
can i end my life already,2
can my life just hurry up and end already. Don’t want to be miserable anymore,1
i think im gonna end my life,2
Why cant my life just end already.,1
Is there a way to change my entire personality so I’m not intensely obsessively neurotic and perfectionistic and prone to breakdowns in a way that causes me to shoot myself in th foot every time I start a new endeavor or should I just kill myself,1
I’m just glad that I’m too lazy to kill myself,0
lemme kill myself already,2
"i genuinely want to kill myself. I’m not even in a deep, emotional way. i just feel suicidal all the time, just numbly. ",2
i don’t see a point in living now.,1
"Tried to kill myself last night. Took too many of my propranolol pills, crying as I did. I'm in so much pain.",1
I might as well kill myself now.,1
deep down I really have the urge to kill myself and I feel like I should talk to someone about it but I have nobody,1
if i kill myself i will never have to have another thought again...sounds good,1
I literally want to kill myself. I’m not even joking.,2
I’m so close to killing myself.,1
i wanna kill myself.,2
mental breakdown is sucks. i want to kill myself badly,2
Preparing myself to either be driven insane by my family or kill myself by the end of this lockdown,1
wish i could kill myself without making my mom sad,1
i had a plan to kill myself,1
Day 13 without the gym: I want to kill myself,0
"I used to want to kill myself, came up still want to kill myself",1
If I have to get drunk one more time by myself.. I’m going to kill myself just for the vibes,0
i just wanna kill myself,2
"felt dead inside, might kill myself later",1
"Good morning Twitter, I want to kill myself",2
I think I'm going to delete this app for a while. you all literally make me want to kill myself with all the negativity you post. reading shit on here is worse for my mental health than listening to the news which is saying something,0
open the nail salon before i kill myself,0
"I tried to kill myself during my first trip, it wasnt a bad trip, i just wanted to die",0
"if i’m gonna die, if i’m going to kill myself it might as well be with drugs",1
"if i don’t make a purchase soon, i will kill myself",0
i need a reason not to kill myself.,1
Republicans have been trying to kill the USPS for decades anyway. They don't give a shit about the Constitution.,0
I wanna kill that voice inside my head,0
i’m going to fucking kill myself ignore that any of you saw that tweet,0
how am I supposed to show up to ZOOM class when I have the LOOMing desire to kill myself,1
I literally want to kill myself. I’m not even joking,2
mental breakdown is sucks. i want to kill myself badly,2
If I kill myself just know I enjoyed my 18 years on this earth,1
"Because I know what it’s like to stop trying… Last year I made the decision to kill myself. And I tried. I really did. I'm happy it failed because I'm happy now. Regardless of how I'm feeling at this moment, I know I'm loved and not alone.I just gotta get through this.",0
"sure am glad I didnt kill myself a few months ago, things are just so awesome now",0
"I don't need a reason to kill myself,  I need a reason not to.",1
called my dad in the middle of class left my mic on. I wanna kill myself,0
I honestly wanna kill myself,2
Ima kill myself.,2
on god I will kill myself right now,2
"Bro, if anyone tags me in those push up challenges on instagram. I would kill myself",0
"If i gonna hear my mom yell my name across the damn house again, I’m gonna kill myself before the virus does",0
instagram makes me wanna kill myself for real,0
"I will admit I tried to kill myself, multiple times but I’m still here. Mental health can’t take a seat, learn how to control it. I love you all.",0
customers at my work make me want to kill myself,0
sometimes twitter makes me wanna kill myself,1
"oh, I will never kill myself to save my soul",0
"Corona can't kill me, if I kill myself first.",0
i wanna kill myself but i also wanna see how this revolution ends. so idk man.,1
I'm Fucking Quitting Twitter... Im Going To Kill Myself... Because Everyone Fucking Hates Me...,2
How do i kill myself without breaking my moms heart?,1
That I not only tried to kill myself after that happened but a couple days later I almost died from a stress induced heart attack (stress cardiomyopathy). That was during my first semester of college and it’s one of the main reasons why I eventually dropped out,0
i could kill myself and no one would notice,1
Getting harder to not kill myself. Much harder.,1
I wanna kill myself so bad.,2
should i kill myself for you people to fucking leave me?,1
telling me to kill myself because I support someone you don’t like is so unnecessary,0
I have a suicide pact with 12 people.,2
"i’m so tired of everything. literally everything. too much pains, too much issues, too much heartaches. i just want to die or should i just suicide myself.",2
"i don't wanna be alive, i don't wanna be alive. i just wanna die today, i just wanna die",2
please just kill me now. I really don’t want to suicide myself,1
"I have been very close to suicide myself, and my heart aches for her family and friends",0
How to commit suicide myself ?,1
i’m gonna suicide myself,2
